u,v,speed,dir_from
-2.2969920960339634,3.4645468538457695,4.156832639370404,146.45565019751422
-0.4588738679885864,2.0532379475506866,2.1038895636380164,167.4021046370463
-1.2343635667454116,2.337628949772228,2.643513291383583,152.16411601893464
-0.13564385067332876,3.4243071295998315,3.4269926425444406,177.73158226492504
0.38678752292286267,2.931184747002341,2.9565940893108715,187.51709455417785
1.0522117289629849,-1.9727596369656648,2.2358287295336767,331.92585664923035
1.0650475187735122,-1.605821891264482,1.9269120799117567,326.4460160406145
1.2894348664717241,-1.6408117467706853,2.086841024901902,321.83790214791355
1.3320209221406416,-1.7065687829797918,2.164868760008683,322.0270442955557
0.8804841800169511,-1.3300901868126607,1.595115135755241,326.49650480138587
0.9074609550562772,-0.20508462732488464,0.9303467575676488,282.734813726407
1.2016740495508365,0.2828502221540971,1.2345139811020887,256.7548092833117
1.0197599150917749,0.7368504350835628,1.2581171837753506,234.14916092224195
-1.987560185519132,4.211885842410001,4.657292973450849,154.73769515770158
-2.1300174214623193,4.227795080705122,4.734049583619442,153.26044806027627
-2.3910775834863833,3.37557957389138,4.136639876750669,144.6883112639335
-2.6561417146162554,2.492565024982799,3.6425223694429225,133.18029983144976
-1.1697331775318494,3.91837891665372,4.089250425334103,163.37833241638688
-1.6327708851207388,4.10260772705078,4.415578209629485,158.29825205520405
-1.6704704544760964,3.8349447683854536,4.182974171070692,156.46245406625533
-1.5139112147417937,3.43875585902821,3.7572555175449294,156.23852067426796
-1.4667967232790862,4.095118045806885,4.349883266998721,160.29340047827702
-1.7276264429092407,4.074342294172808,4.425489606396627,157.0218002420316
-1.567512642253529,3.9578847885131836,4.256988123400004,158.39405332549427
-1.5004574168812144,3.27612270008434,3.603380691223417,155.3923182731965
-0.28039978309111163,2.460062736814672,2.4759912575414393,173.49744702112105
-0.7857639247720892,2.4970443573865024,2.617757717633358,162.53237895548932
-1.042536106976596,2.9737706617875532,3.151220951196266,160.68049851878908
-0.36892201683738013,2.942965507507324,2.965998892933914,172.85483140948838
-0.7387968410145154,2.332181930541992,2.446404163142223,162.42265552684006
-0.7230693426999178,3.0469774332913486,3.1315971569375307,166.650244866648
-0.7504451925104316,3.3277559713883833,3.4113234663504226,167.29175849875335
-0.3103849671103738,3.020024039528587,3.035932151273917,174.13199144532172
0.02821751074357465,0.5035425749692051,0.5043325814570988,183.2073854438887
0.3642018274827437,0.8890347697518088,0.9607423135104552,202.27694140637527
0.5835190686312588,1.373662623492154,1.4924622295507646,203.0153325359695
0.7584258643063632,1.762203259901567,1.9184812015906132,203.28631925632993
-0.7372132702307267,-0.9393827806819568,1.1941203517426742,38.12428179009373
-0.07135840979489416,0.045937213030728404,0.08486607207527971,122.77154364983755
0.020284891128540032,0.6517809954556553,0.6520965747841815,181.78259818805122
0.2632715702056885,1.3159215233542703,1.3419990220956168,191.31358586808108
-0.6432276964187621,-1.4115552685477517,1.5512028060847178,24.49814803302263
0.0917826999317516,-0.28010171109979803,0.2947558864005886,341.8572548666678
0.44018448482860223,0.5830948136069557,0.7305901329330642,217.04954370729078
0.6808201399716464,1.3930559375069356,1.55052278539025,206.04587880292763
-0.5633313710039312,1.279365149411288,1.3978974994917677,156.23509743962154
-0.3769752220673994,2.4771007624539463,2.5056213810954535,171.3468906455725
0.13330206004056064,3.720546028830788,3.722933277922075,182.0519514533301
0.5035583756186746,4.272638581015848,4.3022100694458,186.72167473179076
0.11660652810877019,2.501747835766185,2.504463877990332,182.66862628431278
-0.6523476134647023,2.822061386975375,2.8964785310183934,166.98412951557498
-1.2071910879828713,2.9139930118214,3.1541505347477035,157.49705196283043
-1.068501510403373,2.581891883503307,2.7942550305644156,157.5180559979754
-0.7038611607118086,-2.71781401200728,2.807478145493154,14.519494769198275
-0.34588695656169544,-2.4308032989501958,2.4552886724185132,8.098438622053663
-0.19899920441887597,-2.317143375223333,2.3256728283876744,4.908589754185073
0.00958706032146106,-2.134702194820751,2.134723722709367,359.74268335756545
-0.6432765126228333,-1.7905574928630483,1.9026036915080868,19.76135654823213
-0.5910339951515198,-0.8011946027929131,0.9956073397526057,36.415859671667306
-0.34914734146811743,0.08878264643929223,0.36025855210254004,104.26703601592186
0.23090372302315448,1.1678910038687969,1.1904981840488542,191.18371584816472
-1.0571962269869717,2.7493997270410713,2.945651493542474,158.96730365987304
-1.3511844765056262,3.25044415213845,3.5200975378135237,157.42772209401735
-1.163795384493741,3.36656921560114,3.562051091773139,160.93015180174655
-1.0172946236350322,2.8720162998546255,3.04686166044791,160.49538566226067
-0.39408031376925384,3.0635854547674,3.0888274688565645,172.67008383889532
-0.9515543200752953,3.196482875130393,3.335109952468707,163.42236760890864
-1.3720227805050937,2.998423793099143,3.2974219859229397,155.41205155808524
-1.461219852620905,2.4508548866618765,2.853393266475524,149.19625517459457
-0.903296476060694,2.799459782513705,2.9415845385736152,162.11676301414462
-0.9665395563299004,2.6086333014748315,2.7819357317367848,159.66954190100256
-0.9593431028452788,2.5188214562155986,2.695329426483686,159.14967241221868
-0.6615812886844983,2.4883300607854673,2.574776940425335,165.1110134679237
-1.5786815339868718,3.0386099381880327,3.4242350594265902,152.5462869701364
-1.8388657136396926,2.9421252337369053,3.4695140875619828,147.99409245018109
-2.5924750891598785,2.63866511258212,3.699118903775943,135.5058982402079
-2.366206255826083,2.291045990857211,3.293603463887751,134.07542217125868
-1.8747083707289263,3.194828120144931,3.7042486677530033,149.59581298403566
-1.927025491541082,3.436413331465288,3.939843122476009,150.7177516813591
-2.0268994244662197,3.61136362769387,4.141288269165976,150.69642054128593
-1.8881715211001309,3.3382261449640445,3.835224307392605,150.50657876084225
